종목코드,종목명,현재가,베타계수,60일전가격,변동성,수익률,적합도
A029780,삼성카드,34000,0.670000017,33500,0.009017214,-10.81977826,5520.836905
A030000,제일기획,23600,1.019999981,21850,0.01639223,-9.972153592,3871.901013
A030200,KT,32750,0.589999974,32400,0.012216212,-10.91354649,2332.549586
A031430,신세계인터내셔날,147500,0.860000014,191500,0.02363981,-12.31346596,1323.454312
A032350,롯데관광개발,17600,1.080000043,21000,0.022900438,-9.875316636,2224.128898
A032640,LG유플러스,14150,0.660000026,14850,0.011960321,-10.02127055,3045.104639
A032830,삼성생명,67700,1.190000057,72900,0.015429573,-11.02289056,5948.208382
A033780,KT&G,84200,0.50999999,80500,0.007850176,-11.96935704,4220.671988
A034020,두산중공업,20250,1.409999967,20450,0.041965973,-9.582148481,1128.869176
A034220,LG디스플레이,23150,1.200000048,19050,0.023508682,-9.672500784,2605.589223
A034730,SK,255000,1.399999976,261000,0.017335163,-12.13580347,6522.29125
A035250,강원랜드,24100,0.930000007,28750,0.016910972,-10.33896373,3024.326982
A035420,NAVER,384000,0.75,387000,0.017462358,-13.15386204,1844.661714
A035720,카카오,114500,0.879999995,116500,0.020780622,-11.79347993,1793.280675
A036460,한국가스공사,38400,0.899999976,48300,0.021178343,-10.89054738,1805.930478
A036570,엔씨소프트,656000,0.579999983,574000,0.047566189,-13.80511188,148.6822892
A039490,키움증권,109500,1.389999986,109500,0.019379894,-11.27437609,5144.305797
A042660,대우조선해양,23000,1.460000038,26400,0.026068983,-9.802682827,3136.588634
A042670,현대두산인프라코어,6990,1.159999967,7529,0.028461681,-8.778097534,1661.096508
A047040,대우건설,5870,1.340000033,6700,0.020997194,-8.517193167,4072.743915
A047050,포스코인터내셔널,22900,1.090000033,24350,0.020858772,-10.0141094,2730.709669
A047810,한국항공우주,31750,1.110000014,32550,0.019592412,-10.28617262,3209.742334
A049770,동원F&B,195000,0.769999981,201500,0.014521644,-12.47490945,2811.576136
A051600,한전KPS,38250,0.689999998,38100,0.027814668,-10.91903325,615.3899708
A051900,LG생활건강,1122000,0.620000005,1333000,0.021907009,-14.58097839,800.9717673
A051910,LG화학,621000,1.220000029,767000,0.023902296,-13.3513912,2605.19626
A052690,한전기술,85000,0.819999993,49250,0.059628565,-11.00311559,189.1119521
A055550,신한지주,37900,0.99000001,39850,0.013199546,-10.60292801,5625.387114
A057050,현대홈쇼핑,65100,0.860000014,71000,0.010871034,-11.32125803,6258.282978
A064350,현대로템,20550,1.320000052,24100,0.017954587,-9.812335343,5405.016899
A064960,SNT모티브,47350,1.210000038,50700,0.022816312,-10.6430608,2812.41802
A066570,LG전자,136500,1.080000043,129500,0.025690655,-11.69447508,1767.246683
A068270,셀트리온,201000,0.829999983,261000,0.03180482,-12.65860528,681.0363233
A069260,휴켐스,24000,0.870000005,29000,0.019280131,-10.41431317,2036.191206
A069620,대웅제약,146000,1.059999943,144000,0.02401222,-11.81929972,1948.709292
A069960,현대백화점,74600,0.889999986,79400,0.017973253,-11.39878748,2452.034876
A071050,한국금융지주,84900,1.620000005,83800,0.01661184,-10.85376213,9510.307188
A073240,금호타이어,4565,0.870000005,5500,0.02579653,-8.751765433,1137.407043
A078930,GS,41150,0.850000024,44450,0.015486022,-10.86463914,3012.715472
A079160,CJ CGV,24600,1.399999976,29600,0.021985249,-9.959057421,4055.022503
A079550,LIG넥스원,62700,0.889999986,49150,0.037861847,-10.91916596,552.5561375
A081660,휠라홀딩스,35200,1.399999976,42350,0.024045576,-10.31725148,3389.890692
A086280,현대글로비스,171500,1.210000038,168000,0.020966573,-11.84109887,3330.549229
A086790,하나금융지주,44450,1.090000033,45550,0.014178947,-10.64038818,5909.695317
A088350,한화생명,3050,1.480000019,3605,0.02031311,-7.798034949,5308.485185
A090430,아모레퍼시픽,175500,0.839999974,180000,0.023551056,-12.27506555,1272.148421
A093370,후성,21500,1.179999948,20500,0.031579187,-9.762665771,1396.24643
A096770,SK이노베이션,223500,1.639999986,265500,0.023480771,-11.99467389,4878.237978
A097950,CJ제일제당,387500,0.889999986,410500,0.016461274,-13.04166504,2923.163698
A103140,풍산,31450,1.25999999,33400,0.018530472,-10.18519947,4623.471024
A105560,KB금융,57400,0.980000019,55200,0.015425003,-10.93892092,4036.46908
A105630,한세실업,21650,1.220000029,22550,0.029847741,-9.824639463,1670.693351
A111770,영원무역,43300,0.99000001,44300,0.025404538,-10.70879028,1518.615354
A112610,씨에스윈드,64800,1.360000014,75700,0.029846301,-10.92704873,2076.331937
A114090,GKL,13200,1.129999995,16250,0.021882043,-9.573630559,2666.742793
A120110,코오롱인더,73000,1.279999971,111500,0.02438741,-11.37491981,2754.790454
A128940,한미약품,277000,0.889999986,273000,0.018300054,-12.63376091,2365.240224
A138040,메리츠금융지주,40600,0.790000021,34050,0.025995817,-10.67130762,923.5220164
A138930,BNK금융지주,8850,0.860000014,8580,0.014450523,-9.208012066,3541.846756
A139480,이마트,151500,0.769999981,165000,0.016817265,-12.27506554,2096.38329
A161390,한국타이어앤테크놀로지,40800,1.200000048,43800,0.020415282,-10.5050675,3455.0295
A161890,한국콜마,41300,1.059999943,44300,0.020102661,-10.6404711,2780.382812
A178920,PI첨단소재,53200,0.959999979,57000,0.038483871,-10.99162856,622.2787108
A180640,한진칼,57400,0.720000029,60200,0.022298899,-11.33393166,1042.55312
A185750,종근당,116000,0.870000005,117000,0.022215129,-11.80919128,1533.701414
A192080,더블유게임즈,58100,0.689999998,62400,0.033966649,-11.41238424,412.6603756
A192400,쿠쿠홀딩스,19350,0.769999981,22000,0.021924996,-10.26016252,1233.395546
A192820,코스맥스,89100,0.930000007,128500,0.030890129,-11.83625487,906.4137056
A204320,만도,62600,1.529999971,56600,0.025449758,-10.51849655,3614.227846
A207940,삼성바이오로직스,885000,0.660000026,874000,0.022931056,-14.09635106,828.3994535
A241560,두산밥캣,40450,1.24000001,39750,0.030815053,-10.37525373,1619.263563
A241590,화승엔터프라이즈,16050,1.139999986,16500,0.032487173,-9.58008741,1231.362309
A251270,넷마블,121000,0.600000024,114500,0.020900126,-12.15915569,824.1470576
A259960,크래프톤,463000,0.180000007,500000,0.028733964,-14.83716177,39.24225575
A267250,현대중공업지주,58100,1.139999986,64400,0.014116972,-10.94184066,6521.185608
A271560,오리온,105000,0.569999993,117500,0.017481127,-12.23631254,1063.189913
A272210,한화시스템,15550,1.100000024,17650,0.021781802,-9.683180861,2550.338322
A282330,BGF리테일,147000,0.730000019,173000,0.018526671,-12.37575759,1552.569233
A284740,쿠쿠홈시스,38900,0.699999988,42950,0.017940857,-11.02446689,1522.333152
A285130,SK케미칼,153000,0.769999981,178810,0.0320598,-12.35544386,576.8459166
A294870,HDC현대산업개발,23500,0.930000007,27050,0.02039569,-10.27801297,2079.165621
A298020,효성티앤씨,547000,1.200000048,673000,0.02856541,-13.23717901,1764.743592
A298050,효성첨단소재,639000,1.340000033,789000,0.032149539,-13.28585196,1737.241156
A302440,SK바이오사이언스,239000,0.25999999,273500,0.044131023,-13.86613059,34.71032412
A316140,우리금융지주,13400,0.889999986,11350,0.013710334,-9.453506855,4213.897402
A323410,카카오뱅크,60200,0.800000012,69300,0.02999917,-11.36934372,711.1504763
A326030,SK바이오팜,98100,1.090000033,102000,0.021591391,-11.44655037,2548.541922
A329180,현대중공업,92700,0.810000002,107500,0.025962511,-11.79596715,973.3670644
A336260,두산퓨얼셀,51000,1.350000024,51500,0.028739506,-10.54923248,2206.525447
A352820,하이브,340500,1.159999967,287000,0.029876272,-12.41881752,1507.520184
A361610,SK아이이테크놀로지,162000,1.279999971,217500,0.034058879,-12.04309407,1412.404875
A375500,DL이앤씨,124000,1.179999948,133000,0.018229189,-11.63259001,4190.147117
